DATE,CSUSHPINSA
1/1/1987,63.734
2/1/1987,64.133
3/1/1987,64.469
4/1/1987,64.974
5/1/1987,65.548
6/1/1987,66.219
7/1/1987,66.786
8/1/1987,67.269
9/1/1987,67.622
10/1/1987,67.9
11/1/1987,68.091
12/1/1987,68.343
1/1/1988,68.582
2/1/1988,68.915
3/1/1988,69.323
4/1/1988,69.788
5/1/1988,70.408
6/1/1988,71.067
7/1/1988,71.685
8/1/1988,72.185
9/1/1988,72.574
10/1/1988,72.822
11/1/1988,73.064
12/1/1988,73.278
1/1/1989,73.617
2/1/1989,73.968
3/1/1989,74.411
4/1/1989,74.868
5/1/1989,75.297
6/1/1989,75.696
7/1/1989,76.042
8/1/1989,76.272
9/1/1989,76.421
10/1/1989,76.488
11/1/1989,76.522
12/1/1989,76.498
1/1/1990,76.527
2/1/1990,76.587
3/1/1990,76.79
4/1/1990,77.039
5/1/1990,77.297
6/1/1990,77.505
7/1/1990,77.56
8/1/1990,77.478
9/1/1990,77.228
10/1/1990,76.912
11/1/1990,76.381
12/1/1990,75.972
1/1/1991,75.533
2/1/1991,75.25
3/1/1991,75.136
4/1/1991,75.317
5/1/1991,75.77
6/1/1991,76.254
7/1/1991,76.517
8/1/1991,76.594
9/1/1991,76.575
10/1/1991,76.287
11/1/1991,76.032
12/1/1991,75.845
1/1/1992,75.699
2/1/1992,75.655
3/1/1992,75.814
4/1/1992,76.08
5/1/1992,76.398
6/1/1992,76.603
7/1/1992,76.711
8/1/1992,76.732
9/1/1992,76.628
10/1/1992,76.598
11/1/1992,76.579
12/1/1992,76.465
1/1/1993,76.396
2/1/1993,76.328
3/1/1993,76.384
4/1/1993,76.661
5/1/1993,77.031
6/1/1993,77.517
7/1/1993,77.886
8/1/1993,78.131
9/1/1993,78.198
10/1/1993,78.172
11/1/1993,78.17
12/1/1993,78.114
1/1/1994,78.199
2/1/1994,78.206
3/1/1994,78.351
4/1/1994,78.703
5/1/1994,79.21
6/1/1994,79.703
7/1/1994,80.065
8/1/1994,80.318
9/1/1994,80.341
10/1/1994,80.305
11/1/1994,80.17
12/1/1994,80.079
1/1/1995,80.028
2/1/1995,79.994
3/1/1995,80.079
4/1/1995,80.371
5/1/1995,80.692
6/1/1995,81.069
7/1/1995,81.413
8/1/1995,81.655
9/1/1995,81.74
10/1/1995,81.728
11/1/1995,81.633
12/1/1995,81.515
1/1/1996,81.429
2/1/1996,81.401
3/1/1996,81.667
4/1/1996,82.126
5/1/1996,82.604
6/1/1996,83.05
7/1/1996,83.42
8/1/1996,83.646
9/1/1996,83.703
10/1/1996,83.63
11/1/1996,83.558
12/1/1996,83.492
1/1/1997,83.532
2/1/1997,83.598
3/1/1997,83.913
4/1/1997,84.322
5/1/1997,84.866
6/1/1997,85.399
7/1/1997,85.842
8/1/1997,86.151
9/1/1997,86.312
10/1/1997,86.409
11/1/1997,86.633
12/1/1997,86.849
1/1/1998,87.165
2/1/1998,87.375
3/1/1998,87.878
4/1/1998,88.559
5/1/1998,89.375
6/1/1998,90.196
7/1/1998,90.86
8/1/1998,91.408
9/1/1998,91.753
10/1/1998,92.001
11/1/1998,92.199
12/1/1998,92.445
1/1/1999,92.715
2/1/1999,92.981
3/1/1999,93.612
4/1/1999,94.437
5/1/1999,95.362
6/1/1999,96.365
7/1/1999,97.194
8/1/1999,97.899
9/1/1999,98.402
10/1/1999,98.834
11/1/1999,99.151
12/1/1999,99.545
1/1/2000,100
2/1/2000,100.571
3/1/2000,101.466
4/1/2000,102.54
5/1/2000,103.701
6/1/2000,104.855
7/1/2000,105.721
8/1/2000,106.521
9/1/2000,107.135
10/1/2000,107.728
11/1/2000,108.291
12/1/2000,108.791
1/1/2001,109.213
2/1/2001,109.64
3/1/2001,110.393
4/1/2001,111.247
5/1/2001,112.202
6/1/2001,113.272
7/1/2001,114.226
8/1/2001,114.987
9/1/2001,115.464
10/1/2001,115.679
11/1/2001,115.837
12/1/2001,116.054
1/1/2002,116.436
2/1/2002,116.917
3/1/2002,117.93
4/1/2002,119.209
5/1/2002,120.788
6/1/2002,122.333
7/1/2002,123.687
8/1/2002,124.73
9/1/2002,125.494
10/1/2002,126.136
11/1/2002,126.642
12/1/2002,127.15
1/1/2003,127.652
2/1/2003,128.327
3/1/2003,129.309
4/1/2003,130.488
5/1/2003,131.839
6/1/2003,133.225
7/1/2003,134.646
8/1/2003,135.965
9/1/2003,137.076
10/1/2003,137.976
11/1/2003,138.765
12/1/2003,139.628
1/1/2004,140.706
2/1/2004,142.029
3/1/2004,144.08
4/1/2004,146.179
5/1/2004,148.334
6/1/2004,150.518
7/1/2004,152.337
8/1/2004,153.814
9/1/2004,155.108
10/1/2004,156.299
11/1/2004,157.497
12/1/2004,158.671
1/1/2005,160.13
2/1/2005,161.924
3/1/2005,164.576
4/1/2005,167
5/1/2005,169.544
6/1/2005,172.015
7/1/2005,174.097
8/1/2005,175.922
9/1/2005,177.61
10/1/2005,178.752
11/1/2005,179.674
12/1/2005,180.108
1/1/2006,180.828
2/1/2006,181.499
3/1/2006,182.749
4/1/2006,183.649
