,obs_date,mortgage_values,real_disposable_income,existing_home_sales,housing_starts,supply_of_housing,new_homes_supply,existing_houses_months_supply,production_price_index
0,2000-01-01,8.21,9309.1,5230.0,1636.0,4.3,4.641791044776119,4.2,142.4
1,2000-02-01,8.325,9345.2,5120.0,1737.0,4.3,3.8333333333333335,4.7,142.7
2,2000-03-01,8.24,9370.3,5190.0,1604.0,4.3,3.5568181818181817,4.1,143.2
3,2000-04-01,8.1525,9418.3,5200.0,1626.0,4.4,3.91025641025641,4.6,143.2
4,2000-05-01,8.515,9457.3,5110.0,1575.0,4.4,3.961038961038961,4.6,142.2
5,2000-06-01,8.288,9483.3,5130.0,1559.0,4.8,4.309859154929577,4.7,142.4
6,2000-07-01,8.1475,9533.3,5110.0,1463.0,4.1,3.986842105263158,4.6,141.9
7,2000-08-01,8.0275,9591.5,5170.0,1541.0,4.4,4.136986301369863,4.7,141.2
8,2000-09-01,7.912000000000001,9601.5,5290.0,1507.0,4.0,4.285714285714286,4.4,141.3
9,2000-10-01,7.795,9627.4,5250.0,1549.0,4.0,4.23943661971831,4.5,141.1
10,2000-11-01,7.745,9629.8,5350.0,1551.0,4.2,4.841269841269841,4.2,140.8
11,2000-12-01,7.382,9647.6,5100.0,1532.0,3.6,4.584615384615384,4.4,140.6
12,2001-01-01,7.0325,9697.4,5100.0,1600.0,3.8,4.111111111111111,4.2,140.3
13,2001-02-01,7.05,9708.8,5230.0,1625.0,3.7,3.4823529411764707,4.5,140.9
14,2001-03-01,6.952,9733.9,5450.0,1590.0,3.8,3.106382978723404,4.4,141.0
15,2001-04-01,7.0775,9705.0,5320.0,1649.0,3.9,3.5,4.8,141.3
16,2001-05-01,7.145,9680.9,5270.0,1605.0,4.0,3.6875,4.6,143.4
17,2001-06-01,7.159999999999999,9679.4,5430.0,1636.0,4.2,3.810126582278481,4.7,143.7
18,2001-07-01,7.1275,9820.7,5430.0,1670.0,4.2,4.0131578947368425,4.4,142.4
19,2001-08-01,6.95,9982.1,5480.0,1567.0,4.4,4.162162162162162,4.9,142.4
20,2001-09-01,6.8175,9896.5,5230.0,1562.0,4.4,4.696969696969697,5.0,142.4
21,2001-10-01,6.6175,9722.4,5250.0,1540.0,4.3,4.666666666666667,4.6,141.1
22,2001-11-01,6.6579999999999995,9733.4,5240.0,1602.0,4.1,4.597014925373134,5.0,140.8
23,2001-12-01,7.0649999999999995,9750.3,5490.0,1568.0,3.8,4.666666666666667,4.1,140.1
24,2002-01-01,6.9975,9951.9,5860.0,1698.0,4.2,4.696969696969697,4.3,140.3
25,2002-02-01,6.8925,9966.6,5900.0,1829.0,4.0,3.7261904761904763,4.6,140.3
26,2002-03-01,7.014,9973.3,5630.0,1642.0,4.1,3.511111111111111,4.6,140.9
27,2002-04-01,6.985,10007.2,5670.0,1592.0,4.3,3.7674418604651163,4.9,141.3
28,2002-05-01,6.806,10047.9,5640.0,1764.0,4.0,3.715909090909091,4.7,141.2
29,2002-06-01,6.65,10078.5,5510.0,1717.0,4.2,3.9047619047619047,4.9,141.1
30,2002-07-01,6.485,10053.5,5410.0,1655.0,4.2,4.060975609756097,4.6,141.3
31,2002-08-01,6.29,10056.6,5360.0,1633.0,4.0,3.7111111111111112,5.0,141.6
32,2002-09-01,6.0925,10068.3,5520.0,1804.0,3.9,4.060975609756097,4.8,141.6
33,2002-10-01,6.1125,10097.3,5680.0,1648.0,4.0,4.35064935064935,4.9,141.4
34,2002-11-01,6.068,10124.3,5730.0,1753.0,4.0,4.63013698630137,4.9,141.0
35,2002-12-01,6.0475,10148.6,5970.0,1788.0,4.0,4.8428571428571425,4.3,141.0
36,2003-01-01,5.9159999999999995,10133.6,6030.0,1853.0,4.0,4.4868421052631575,4.6,141.4
37,2003-02-01,5.8425,10097.6,6020.0,1629.0,4.5,4.158536585365853,4.7,142.4
38,2003-03-01,5.745,10121.5,5860.0,1726.0,4.1,3.4489795918367347,4.7,142.4
39,2003-04-01,5.8125,10181.4,5840.0,1643.0,4.1,3.7362637362637363,5.1,142.6
40,2003-05-01,5.484,10261.2,5940.0,1751.0,3.9,3.396039603960396,4.8,142.6
41,2003-06-01,5.23,10291.2,5940.0,1867.0,3.5,3.205607476635514,5.0,142.9
42,2003-07-01,5.6325,10415.5,6270.0,1897.0,3.6,3.4545454545454546,4.5,143.8
43,2003-08-01,6.264,10487.7,6520.0,1833.0,3.5,3.295238095238095,4.5,144.2
44,2003-09-01,6.1475,10369.1,6580.0,1939.0,3.8,3.888888888888889,4.3,145.9
45,2003-10-01,5.952,10408.4,6390.0,1967.0,3.8,4.1022727272727275,4.5,146.4
46,2003-11-01,5.9325,10470.9,6230.0,2083.0,4.1,4.815789473684211,4.8,146.6
47,2003-12-01,5.8759999999999994,10479.0,6490.0,2057.0,4.0,4.933333333333334,4.2,145.9
48,2004-01-01,5.7125,10472.7,6230.0,1911.0,3.8,4.202247191011236,4.3,146.2
49,2004-02-01,5.635,10491.3,6410.0,1846.0,3.7,3.6470588235294117,4.5,148.5
50,2004-03-01,5.445,10533.6,6660.0,1998.0,3.6,3.097560975609756,4.4,150.4
51,2004-04-01,5.83,10569.6,6730.0,2003.0,4.0,3.5137614678899083,4.3,152.3
52,2004-05-01,6.27,10623.3,6850.0,1981.0,3.8,3.3304347826086955,4.2,153.9
53,2004-06-01,6.2875,10631.8,6920.0,1828.0,3.9,3.6476190476190475,4.1,153.7
54,2004-07-01,6.056,10658.1,6840.0,2002.0,4.5,4.166666666666667,4.3,153.7
55,2004-08-01,5.8675,10693.5,6700.0,2024.0,4.3,3.9705882352941178,4.5,155.6
56,2004-09-01,5.754,10701.4,6680.0,1905.0,4.1,4.361702127659575,4.2,156.6
57,2004-10-01,5.7225,10707.4,6850.0,2072.0,3.9,4.089108910891089,4.3,156.3
58,2004-11-01,5.73,10677.3,6960.0,1782.0,4.3,4.976190476190476,4.4,155.8
59,2004-12-01,5.752,11072.9,6890.0,2042.0,4.1,5.0843373493975905,3.9,156.1
60,2005-01-01,5.71,10670.3,7100.0,2144.0,4.4,4.793478260869565,3.6,158.0
61,2005-02-01,5.6275,10677.1,6890.0,2207.0,4.3,4.091743119266055,4.1,159.7
62,2005-03-01,5.928,10717.4,6960.0,1864.0,4.1,3.5039370078740157,4.0,160.6
63,2005-04-01,5.855,10751.9,7120.0,2061.0,4.3,3.836206896551724,4.2,161.1
64,2005-05-01,5.72,10799.8,7080.0,2025.0,4.2,3.75,4.3,160.7
65,2005-06-01,5.582,10824.4,7180.0,2068.0,4.3,3.9565217391304346,4.5,161.8
66,2005-07-01,5.695,10839.0,7140.0,2054.0,4.2,3.965811965811966,4.6,162.3
67,2005-08-01,5.82,10856.6,7230.0,2095.0,4.5,4.327272727272727,4.7,162.5
68,2005-09-01,5.774,10815.7,7260.0,2151.0,4.7,4.91919191919192,4.6,164.8
69,2005-10-01,6.065,10870.2,7110.0,2065.0,4.5,4.666666666666667,4.8,166.7
70,2005-11-01,6.33,10937.8,7020.0,2147.0,5.0,5.837209302325581,5.0,165.9
71,2005-12-01,6.272,10976.2,6850.0,1994.0,4.9,5.873563218390805,5.0,166.8
72,2006-01-01,6.145,11096.7,6700.0,2273.0,5.3,5.876404494382022,5.2,169.3
73,2006-02-01,6.2525,11151.4,6850.0,2119.0,6.1,6.125,5.2,169.9
74,2006-03-01,6.324,11195.7,6840.0,1969.0,5.9,5.111111111111111,5.6,170.8
75,2006-04-01,6.5075,11190.3,6700.0,1821.0,6.3,5.65,6.1,172.3
76,2006-05-01,6.5975,11182.7,6580.0,1942.0,6.2,5.53921568627451,6.5,173.4
77,2006-06-01,6.6819999999999995,11198.2,6480.0,1802.0,6.3,5.775510204081633,6.9,174.0
78,2006-07-01,6.7625,11196.3,6310.0,1737.0,7.3,6.891566265060241,7.3,174.8
79,2006-08-01,6.523999999999999,11189.6,6340.0,1650.0,6.7,6.431818181818182,7.3,175.2
80,2006-09-01,6.4025,11252.3,6290.0,1720.0,6.7,6.9875,7.2,174.6
81,2006-10-01,6.3575,11306.0,6350.0,1491.0,7.3,7.486486486486487,7.3,173.7
82,2006-11-01,6.24,11353.1,6340.0,1570.0,6.6,7.647887323943662,7.2,173.7
83,2006-12-01,6.135,11406.8,6420.0,1649.0,6.5,7.549295774647887,6.4,173.8
84,2007-01-01,6.2175,11403.7,5740.0,1409.0,7.2,8.151515151515152,6.6,174.5
85,2007-02-01,6.285,11439.6,5790.0,1480.0,7.9,8.0,7.0,175.1
86,2007-03-01,6.156000000000001,11475.0,5460.0,1495.0,7.9,6.8125,7.4,176.0
87,2007-04-01,6.18,11490.1,5290.0,1490.0,7.4,6.602409638554217,8.5,176.9
88,2007-05-01,6.2620000000000005,11495.5,5270.0,1415.0,7.8,6.89873417721519,8.9,177.5
